"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.720934375E0,2.971366787E-2,-5.797202772E-2,3.290520608E-2
1.730914375E0,-8.350600535E-4,-4.343918435E-2,2.811516702E-2
1.740923375E0,-2.228038127E-2,-3.022116051E-2,3.110777199E-2
1.750903375E0,-7.905070111E-3,1.543841719E-2,4.577726662E-2
1.760912375E0,-7.718278980E-3,4.034601184E-2,5.835228860E-2
1.770922375E0,-2.838299691E-2,5.009483239E-2,5.700625956E-2
1.780901375E0,-1.894624409E-2,1.340335545E-2,4.503116190E-2
1.790911375E0,2.917099601E-2,-1.159192687E-2,3.170828104E-2
1.800890375E0,2.451120825E-3,-2.831369598E-2,4.023878396E-2
1.810900375E0,4.908691859E-3,-1.056604431E-2,4.143512428E-2
1.820910375E0,1.834668978E-2,8.663725785E-3,4.308170021E-2
1.830889375E0,-7.100886097E-3,7.699915068E-4,3.978854835E-2
1.840899375E0,-1.495608129E-3,-8.337151939E-3,3.260407448E-2
1.850878375E0,-4.642972453E-3,8.874602420E-3,5.236532450E-2
1.860888375E0,2.066977486E-2,2.174705125E-3,3.170886576E-2
1.870898375E0,1.430132561E-2,1.137080162E-3,3.979147196E-2
1.880877375E0,4.506595284E-3,-1.697697038E-2,4.607781351E-2
1.890887375E0,-6.621926045E-4,2.844240096E-2,5.251384377E-2
1.900866375E0,-1.207205180E-2,3.510237502E-2,3.829283059E-2
1.910876375E0,-8.167025372E-3,2.252231895E-2,3.874189675E-2
1.920886375E0,-6.104945387E-3,-6.472666729E-3,4.472886086E-2
1.930865375E0,-7.451641378E-3,-2.593037773E-2,1.868302345E-2
1.940875375E0,-1.017899746E-3,-1.534537337E-2,3.874072731E-2
1.950854375E0,1.101993214E-2,1.401443745E-2,2.946061134E-2
1.960864375E0,6.072835950E-3,2.109037239E-2,3.080839455E-2
1.970873375E0,-7.539715064E-3,1.367518474E-2,2.886302590E-2
1.980853375E0,-2.137577590E-2,2.885065310E-2,4.742559671E-2
1.990862375E0,-2.571733352E-3,-1.307090241E-3,6.733478129E-2
2.000842375E0,6.377137844E-3,-3.022241218E-2,2.796664774E-2
2.010851375E0,-2.478579897E-3,-1.448062500E-2,1.718905985E-2
2.020861375E0,2.010968469E-2,-1.286392012E-2,4.607898295E-2
2.030840375E0,-9.328666124E-3,8.904482606E-3,3.709765971E-2
2.040850375E0,-6.578181563E-3,-1.947666421E-3,4.862369120E-2
2.050829375E0,-2.416535458E-2,1.076856582E-2,3.934357524E-2
