"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.331046125E0,2.037396189E-3,-1.251846552E-3,4.194164649E-5
1.341056125E0,1.168379094E-3,-5.044452846E-4,-1.479958184E-3
1.351066125E0,-1.275870483E-3,2.494009212E-3,-1.673569903E-3
1.361045125E0,-1.192595810E-4,-2.405408770E-3,-3.734051716E-4
1.371055125E0,1.904210541E-3,-2.711508423E-4,1.794670243E-4
1.381034125E0,1.182130538E-3,4.794150591E-4,5.785792600E-4
1.391044125E0,-6.396276876E-5,-1.207165420E-3,3.133285791E-4
1.401054125E0,-1.434566919E-3,1.223828644E-3,-5.561285652E-4
1.411033125E0,1.311152708E-3,-2.223901451E-3,-2.131133806E-4
1.421043125E0,3.785453737E-5,-1.149810851E-5,-2.746104728E-3
1.430987375E0,-6.606923416E-4,1.258296892E-3,-4.001262132E-4
1.440997375E0,-2.016886603E-3,4.907194525E-4,6.580266636E-4
1.451006375E0,-2.822759561E-3,4.561360925E-3,1.182669308E-3
1.460986375E0,1.175302081E-3,-1.310048625E-3,1.020651311E-3
1.470995375E0,3.332113847E-4,6.087590009E-4,-1.425319351E-5
1.480975375E0,8.773335256E-3,-7.810600102E-3,-4.755489528E-3
1.490984375E0,4.552174360E-4,2.734186128E-3,-1.972486498E-3
1.500994375E0,-1.521090511E-3,-2.853646874E-4,-2.271519043E-3
1.510973375E0,3.242771607E-3,-2.214292064E-3,-9.932015091E-4
1.520983375E0,3.721280023E-3,-1.226555556E-3,-5.744940136E-4
1.530963375E0,-2.701199614E-3,1.971634105E-3,9.349856991E-4
1.540972375E0,7.965168916E-4,2.618342638E-3,1.489329152E-4
1.550982375E0,5.182210822E-3,-3.830768168E-3,-8.462625556E-5
1.560961375E0,1.681450754E-3,-9.688194841E-4,-7.253058720E-4
1.570971375E0,-4.880456254E-5,-7.985532284E-5,1.744972542E-5
1.580950375E0,2.236271743E-3,1.309424639E-3,-1.398466993E-4
1.590960375E0,4.884391092E-4,2.437006682E-3,9.613705333E-4
1.600970375E0,-6.467028987E-3,3.769472241E-3,8.479750250E-4
1.610949375E0,-1.768147573E-3,3.247493878E-3,8.037665393E-4
1.620959375E0,-4.350203089E-4,-1.326147467E-4,-7.587564178E-4
1.630938375E0,-2.479529008E-3,3.707131371E-3,-5.390455481E-4
1.640948375E0,4.561929964E-4,-1.326981932E-3,2.764074598E-4
1.650958375E0,1.409871038E-3,-2.006089315E-3,1.091607846E-4
1.660937375E0,-2.291067503E-4,-8.186213672E-4,1.485833665E-3
1.670947375E0,1.111262478E-3,-7.464494556E-4,1.250942820E-3
1.680926375E0,-4.760622047E-3,4.707766697E-3,1.155756298E-3
1.690936375E0,1.309439540E-5,6.161630154E-5,-1.899390481E-4
1.700915375E0,6.187892985E-3,-2.979453653E-3,-1.020895084E-3
1.710925375E0,4.975089338E-3,-7.810162380E-3,-8.480558172E-4
1.720934375E0,2.185455989E-3,-1.016553491E-3,-1.702690497E-6
1.730914375E0,-4.971460439E-4,1.534754410E-3,1.310702995E-3
1.740923375E0,-2.113259397E-4,-7.251761854E-4,-5.510877818E-4
1.750903375E0,-1.135442872E-3,1.144362614E-3,-5.601425655E-4
1.760912375E0,-1.153541263E-3,1.066340134E-3,-1.638033427E-5
1.770922375E0,9.791180491E-4,-3.983974457E-4,1.486707828E-3
1.780901375E0,4.076328594E-3,-5.113413557E-3,-1.588536194E-3
1.790911375E0,1.061896328E-3,-4.914980382E-4,-1.530478941E-3
1.800890375E0,8.067404851E-3,-5.145339295E-3,-1.338456757E-3
1.810900375E0,-4.258237779E-3,2.924837172E-3,4.216262605E-4
1.820910375E0,7.713581435E-4,-1.283250749E-3,-1.515588490E-3
1.830889375E0,3.644909244E-3,-2.496853471E-3,8.660764433E-4
1.840899375E0,-1.219100785E-3,2.925377339E-4,-7.794967387E-4
1.850878375E0,-7.689516991E-3,7.570956834E-3,2.399613149E-4
1.860888375E0,-1.169991214E-3,-2.451036125E-4,-1.171103446E-3
1.870898375E0,3.610915970E-3,-1.369489357E-3,3.215982579E-4
1.880877375E0,-3.411884885E-3,2.468371764E-3,1.359165530E-3
1.890887375E0,-5.087731406E-4,-7.495265454E-4,9.812628850E-4
1.900866375E0,-8.805001155E-3,5.075098015E-3,-5.200710148E-4
1.910876375E0,1.964022871E-3,-3.145813942E-3,-8.704094216E-5
1.920886375E0,4.860930610E-3,-2.894585952E-3,-9.304496925E-4
1.930865375E0,-4.174546339E-4,5.006976426E-5,3.955380525E-4
1.940875375E0,9.138188325E-4,-1.562088728E-4,-5.366653204E-5
1.950854375E0,3.641960677E-3,4.115775228E-4,5.655183922E-4
1.960864375E0,5.850601010E-4,1.614447683E-4,4.726164043E-4
1.970873375E0,-5.720240064E-3,1.875987276E-3,-8.931057528E-5
1.980853375E0,9.069866501E-4,1.565171406E-3,-3.198862541E-4
1.990862375E0,-6.427071057E-4,2.603003755E-3,-1.321234740E-3
2.000842375E0,9.332399815E-3,-7.189851254E-3,-6.326853763E-4
2.010851375E0,-1.270709559E-3,3.064649180E-3,-2.771534491E-4
2.020861375E0,-2.815399319E-3,1.154337078E-3,6.337906234E-4
2.030840375E0,-3.786073066E-4,-1.122932881E-3,3.317883238E-4
2.040850375E0,1.114242710E-3,-1.008743420E-3,-3.579538316E-5
2.050829375E0,4.091923125E-3,-1.994911581E-3,9.722111281E-4
2.060839375E0,1.546439249E-3,-1.681340858E-3,-1.182024833E-3
2.070849375E0,3.943550866E-3,-2.924239263E-3,4.544877447E-4
2.080828375E0,-1.964343712E-3,-8.850246668E-4,-3.993201535E-4
2.090838375E0,-2.111848444E-4,3.269799054E-4,-2.046430018E-4
2.100817375E0,-3.877095878E-6,8.064042777E-4,-1.509205904E-4
2.110827375E0,-2.122421749E-3,2.625875175E-3,-5.615800619E-4
2.120837375E0,3.509917296E-4,5.747769028E-4,5.672543775E-4
2.130816375E0,4.126554821E-3,-4.110788926E-3,1.327054342E-3
2.140826375E0,-2.921838313E-5,3.391634673E-4,2.361855004E-4
2.150805375E0,-3.375213593E-3,4.826056771E-3,1.299585681E-3
2.160815375E0,2.809334546E-4,-1.846998930E-4,1.468278933E-3
2.170825375E0,2.851682715E-3,-1.969549805E-3,-2.883421257E-4
2.180804375E0,2.249126323E-3,-1.968482509E-3,-4.206772428E-4
2.190814375E0,-3.847400658E-4,2.161096781E-4,8.810758591E-4
2.200793375E0,7.979971357E-3,-4.266889766E-3,1.340713352E-4
2.210803375E0,-2.873209305E-3,3.575852141E-3,-1.521083061E-3
2.220812375E0,-8.366680704E-4,1.697402447E-3,-1.259756740E-3
2.230792375E0,-1.725631300E-3,1.404454932E-3,-5.689326208E-4
2.240801375E0,-5.253790878E-4,-2.333972603E-3,1.304031117E-3
2.250781375E0,-5.801101215E-3,2.561450005E-3,1.024931902E-3
2.260790375E0,5.296757445E-4,-5.999002606E-4,1.240472891E-3
2.270800375E0,-2.434422728E-3,3.197234124E-3,-7.694147062E-4
2.280779375E0,3.656883724E-3,-9.194202721E-4,-5.490414333E-4
2.290789375E0,6.610937417E-4,5.674231797E-4,-9.458521381E-4
2.300768375E0,4.027114250E-3,-3.101853654E-3,1.645325683E-4
2.310778375E0,3.865193576E-3,-1.733254641E-3,-5.489282776E-4
2.320788375E0,1.199549995E-3,-1.158248633E-4,9.202607907E-4
2.330767375E0,3.816932440E-4,-1.301463693E-3,-1.085632015E-3
2.340777375E0,-2.044998109E-5,1.599779353E-3,1.321904012E-3
2.350756375E0,2.636585385E-3,6.735324860E-4,-6.083552726E-4
2.360766375E0,-1.238924451E-4,-5.494467914E-4,-3.573196009E-4
2.370776375E0,1.916888170E-3,-8.621029556E-4,5.813338794E-5
2.380755375E0,-3.440021537E-3,1.872582361E-3,1.391014783E-3
2.390765375E0,-2.060237806E-3,1.726374030E-3,5.916785449E-5
2.400744375E0,3.299629316E-3,-1.245716587E-3,1.491028466E-3
2.410754375E0,-1.312699635E-3,2.001741901E-3,-4.759824369E-4
2.420764375E0,3.844483756E-3,1.254843548E-3,4.750059452E-4
2.430711250E0,3.274034709E-3,-2.252539620E-3,-1.470166957E-3
2.440721250E0,-2.110911533E-3,1.570543274E-3,-4.210111219E-4
2.450700250E0,2.699024044E-3,-2.080382779E-3,1.531352289E-3
2.460710250E0,7.476974279E-4,1.441765577E-3,9.300396778E-5
2.470719250E0,3.126699477E-3,-1.579856500E-3,6.285656709E-4
2.480699250E0,2.397117205E-3,-4.213210195E-4,2.150952350E-3
2.490708250E0,-9.012073278E-4,-1.629944891E-4,6.390758790E-4
2.500688250E0,-2.684676554E-3,1.916162670E-3,1.441750326E-3
2.510697250E0,7.071252912E-4,-3.347415477E-4,-2.261875197E-4
2.520707250E0,1.491052099E-3,-1.135073602E-3,-8.635106497E-5
2.530686250E0,-2.688246779E-3,2.649279311E-3,1.415139064E-3
2.540696250E0,1.022460405E-3,-1.100700349E-3,-1.911085565E-4
2.550675250E0,1.757493708E-3,-1.067144796E-3,-2.734002192E-4
2.560685250E0,2.060102299E-3,-2.304758877E-3,-3.131276462E-4
2.570695250E0,3.095006570E-3,-6.858222187E-4,-1.592244022E-3
2.580674250E0,5.444660783E-3,-3.402000293E-3,-2.324164379E-4
2.590684250E0,9.625609964E-4,5.461368710E-4,-4.332188983E-4
2.600663250E0,1.606656238E-3,1.501115039E-3,-1.617511967E-3
2.610673250E0,-2.148400526E-3,2.094466239E-3,8.195468690E-4
2.620683250E0,-6.380444393E-5,-8.056685328E-5,-8.677926380E-4
2.630662250E0,-1.209496520E-3,1.883780584E-3,-3.311655018E-4
2.640672250E0,2.060281113E-4,1.397231594E-3,-5.157981068E-4
2.650651250E0,-5.454787519E-3,5.949905142E-3,-8.929017931E-4
2.660661250E0,1.026369631E-3,1.154176891E-3,-9.998166934E-4
2.670670250E0,1.847422682E-3,-3.472533077E-3,-8.887629956E-4
2.680650250E0,2.918923274E-3,-8.724965155E-4,3.854422830E-4
2.690660250E0,-5.775410682E-4,1.349765807E-4,1.106041018E-4
2.700639250E0,5.102824420E-3,-5.435772240E-3,-1.928752754E-4
2.710649250E0,1.079853624E-3,3.302842379E-5,-2.224363852E-4
2.720658250E0,3.643013071E-3,-2.519160509E-3,-1.552346162E-3
2.730638250E0,1.574269962E-3,-1.153491437E-3,-9.728423320E-4
2.740647250E0,-1.803045161E-4,2.389200032E-3,7.522758096E-4
2.750627250E0,-5.400972441E-4,-2.918038517E-4,4.609259777E-4
2.760636250E0,-3.226799890E-4,2.619752660E-3,-1.581749879E-3
2.770646250E0,-3.577861469E-3,7.440894842E-4,-1.103978604E-3
2.780625250E0,5.127315409E-3,-4.576912150E-3,1.125684474E-3
2.790635250E0,2.284390852E-3,-1.414673403E-3,8.393945172E-4
2.800614250E0,-1.051522605E-2,7.063897327E-3,1.694143401E-3
2.810624250E0,1.067919657E-4,-1.060875133E-3,4.962536041E-4
2.820634250E0,2.568276599E-3,-1.472933218E-3,4.205710720E-4
2.830613250E0,2.633257769E-3,-1.802898943E-3,-7.991567254E-4
2.840623250E0,-3.429208882E-4,-1.079440117E-4,-1.128913602E-3
2.850602250E0,4.660892300E-3,-2.494402230E-3,4.500779323E-5
2.860612250E0,-2.463948447E-3,9.121373296E-4,-4.829228856E-4
2.870622250E0,-6.000022404E-4,-1.836512238E-3,-1.262430102E-3
2.880601250E0,4.108250141E-4,-2.477793023E-3,5.351786967E-4
2.890611250E0,-4.813335836E-4,2.331877127E-3,5.133408122E-4
2.900590250E0,-3.951740917E-3,1.685131341E-3,-3.192175645E-4
2.910600250E0,-3.572721034E-4,8.728671819E-4,-8.790139109E-4
2.920609250E0,-2.335797530E-3,1.384962350E-3,3.743513953E-4
2.930589250E0,5.177799612E-4,-2.499524504E-3,-4.283254966E-4
2.940598250E0,1.572811045E-3,-6.452221423E-4,8.573636878E-4
2.950578250E0,-8.712050505E-3,3.354845569E-3,6.938455626E-4
2.960587250E0,3.004036844E-4,-1.363717020E-3,3.041955642E-4
2.970597250E0,-6.759110838E-4,-5.927309394E-4,3.743934445E-3
2.980577250E0,3.596384078E-3,-2.758523449E-3,1.205979032E-3
2.990586250E0,1.902012154E-4,-2.327822149E-4,4.244386218E-5
3.000566250E0,1.796250232E-3,-1.345632598E-3,8.410876617E-4
3.010575250E0,-3.926882520E-3,2.538587898E-3,1.074114116E-3
3.020585250E0,3.381602466E-3,-4.414808005E-3,5.460465327E-4
3.030564250E0,-1.198235899E-3,1.516850665E-3,7.833342534E-4
3.040574250E0,-2.180971205E-3,1.443466172E-3,4.790343810E-4
3.050553250E0,-1.972179394E-3,2.240017056E-3,-7.223174907E-4
3.060563250E0,-3.952137195E-4,1.119947061E-3,-2.334157471E-4
3.070573250E0,1.748630777E-3,-1.782098785E-3,8.267886005E-4
3.080552250E0,-5.980907008E-5,-1.174042001E-3,1.362388255E-3
3.090562250E0,6.988691166E-5,3.269165754E-4,-6.789246108E-4
3.100541250E0,3.552865237E-3,-3.755265847E-3,-1.463389024E-3
3.110551250E0,1.939788461E-3,-1.111278310E-3,-1.163517125E-3
3.120561250E0,1.523626968E-3,-1.461038366E-3,8.552311920E-5
3.130540250E0,-1.550992951E-3,-1.397389919E-3,-4.497722257E-4
3.140550250E0,3.020018339E-4,-9.005926549E-4,1.169538940E-3
3.150529250E0,1.874332316E-3,-1.641217619E-3,5.311791319E-4
3.160539250E0,-4.866174422E-4,-8.612070233E-4,7.564860862E-4
3.170548250E0,7.576113567E-4,-3.873510286E-3,6.792542990E-4
3.180528250E0,1.072005369E-3,-5.576685071E-4,-1.477960497E-3
3.190537250E0,1.421146095E-3,-2.147842199E-3,5.199429579E-4
3.200517250E0,-3.498777747E-3,8.364953101E-4,-5.945744924E-4
3.210526250E0,-1.503537875E-3,1.128377393E-3,2.453679685E-3
3.220536250E0,3.922767937E-4,-9.282939136E-4,4.664692096E-5
3.230515250E0,1.182374544E-4,9.468384087E-4,5.542454310E-4
3.240525250E0,-1.139841042E-4,1.364424825E-3,-2.956865355E-4
3.250504250E0,2.636794932E-3,-9.586494416E-4,-1.910242718E-4
