"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.242327375E0,-7.170089722E-2,-3.487747192E-2,9.840985565E0
2.252062375E0,-1.016386414E-1,1.002914429E-2,9.836494904E0
2.261797375E0,-1.546284485E-1,3.921844482E-2,9.831405487E0
2.271533375E0,-1.498384094E-1,7.229965210E-2,9.855804749E0
2.281298375E0,-1.056802368E-1,8.068222046E-2,9.838590546E0
2.291033375E0,-8.113128662E-2,8.861572266E-2,9.841584320E0
2.300738375E0,-2.559677124E-2,6.391708374E-2,9.834249573E0
2.310473375E0,-2.933898926E-2,5.688171387E-2,9.883497162E0
2.320208375E0,-1.586700439E-2,4.610412598E-2,9.843979340E0
2.329943375E0,-2.020797729E-2,3.876937866E-2,9.826016693E0
2.339678375E0,4.640350342E-3,-1.945953369E-3,9.844428406E0
2.349413375E0,-1.945953369E-3,-2.589614868E-2,9.845775604E0
2.359149375E0,1.631607056E-2,-1.541793823E-2,9.860594788E0
2.368884375E0,7.035369873E-3,-2.544708252E-3,9.843380585E0
2.378619375E0,-1.152603149E-2,2.903961182E-2,9.835596771E0
2.388354375E0,8.681945801E-3,5.254074097E-2,9.857002258E0
2.398089375E0,-2.424957275E-2,6.661148071E-2,9.843679962E0
2.407824375E0,-4.311035156E-2,4.430786133E-2,9.816436615E0
2.417559375E0,-8.771759033E-2,3.906875610E-2,9.862540741E0
2.427262250E0,-1.116677856E-1,4.849914551E-2,9.876162415E0
2.436997250E0,-8.217910767E-2,2.095642090E-2,9.842482452E0
2.446733250E0,-4.595443726E-2,2.125579834E-2,9.820478210E0
2.456468250E0,-2.155517578E-2,8.382568359E-3,9.848769379E0
2.466203250E0,-6.855743408E-2,2.020797729E-2,9.868827667E0
2.475938250E0,-8.217910767E-2,6.735992432E-3,9.839937744E0
2.485673250E0,-9.984237671E-2,2.305206299E-2,9.857900391E0
2.495408250E0,-9.819580078E-2,1.047821045E-2,9.826316071E0
2.505143250E0,-1.110690308E-1,-1.122665405E-2,9.861492920E0
2.514878250E0,-7.649093628E-2,-1.182540894E-2,9.840835876E0
2.524613250E0,-4.984634399E-2,1.871109009E-2,9.842482452E0
2.534348250E0,-2.769241333E-2,5.553451538E-2,9.836494904E0
2.544084250E0,2.140548706E-2,5.912704468E-2,9.844578094E0
2.553819250E0,5.014572144E-2,7.544311523E-2,9.830657043E0
2.563554250E0,5.044509888E-2,5.837860107E-2,9.842332764E0
2.573258250E0,6.301895142E-2,3.667373657E-2,9.849368134E0
2.582993250E0,4.026626587E-2,1.017883301E-2,9.842931519E0
2.592729250E0,1.646575928E-2,7.484436035E-4,9.851613464E0
2.602464250E0,-3.338058472E-2,6.286926270E-3,9.865534515E0
2.612199250E0,-7.394622803E-2,3.353027344E-2,9.836644592E0
2.621934250E0,-1.130149841E-1,6.092330933E-2,9.864187317E0
2.631669250E0,-1.401086426E-1,6.376739502E-2,9.855205994E0
2.641404250E0,-1.481918335E-1,5.987548828E-2,9.833501129E0
2.651139250E0,-1.507365417E-1,1.990859985E-2,9.844877472E0
2.660874250E0,-1.097218323E-1,1.377136230E-2,9.847721558E0
2.670609250E0,-9.849517822E-2,6.286926270E-3,9.840237122E0
2.680345250E0,-6.032455444E-2,1.811233521E-2,9.865534515E0
2.690080250E0,-1.227447510E-2,3.966751099E-2,9.853260040E0
2.699815250E0,5.239105225E-3,6.047424316E-2,9.848919067E0
2.709550250E0,2.395019531E-2,3.457809448E-2,9.848769379E0
2.719285250E0,3.218307495E-2,4.071533203E-2,9.837542725E0
2.728990250E0,2.799179077E-2,3.128494263E-2,9.844877472E0
2.738725250E0,-9.580078125E-3,3.562591553E-2,9.833201752E0
2.748460250E0,-1.721420288E-2,1.601669312E-2,9.849068756E0
2.758195250E0,-4.445755005E-2,-1.212478638E-2,9.853260040E0
2.767930250E0,-8.158035278E-2,1.227447510E-2,9.836644592E0
2.777665250E0,-1.118174744E-1,3.592529297E-3,9.859097900E0
2.787400250E0,-1.083746338E-1,1.197509766E-2,9.872420197E0
2.797135250E0,-9.849517822E-2,2.155517578E-2,9.845925293E0
2.806870250E0,-7.409591675E-2,3.876937866E-2,9.855804749E0
2.816606250E0,-6.870712280E-2,7.274871826E-2,9.842931519E0
2.826341250E0,-6.930587769E-2,8.502319336E-2,9.837243347E0
2.836076250E0,-4.251159668E-2,8.038284302E-2,9.840237122E0
2.845811250E0,-2.814147949E-2,3.891906738E-2,9.857002258E0
2.855546250E0,-1.377136230E-2,1.586700439E-2,9.853409729E0
2.865281250E0,-6.735992432E-3,-4.191284180E-3,9.840686188E0
2.874986250E0,-4.640350342E-3,-2.439926147E-2,9.855505371E0
2.884721250E0,-1.676513672E-2,-4.340972900E-3,9.844278717E0
2.894456250E0,-1.466949463E-2,1.496887207E-4,9.847571869E0
2.904191250E0,-3.622467041E-2,3.787124634E-2,9.870174866E0
2.913926250E0,-4.520599365E-2,4.326004028E-2,9.839937744E0
2.923661250E0,-7.753875732E-2,4.475692749E-2,9.844578094E0
2.933396250E0,-8.098159790E-2,2.380050659E-2,9.845925293E0
2.943131250E0,-8.681945801E-2,2.754272461E-2,9.840237122E0
2.952867250E0,-7.170089722E-2,3.367996216E-2,9.848919067E0
2.962602250E0,-6.466552734E-2,2.110610962E-2,9.842931519E0
2.972337250E0,-6.930587769E-2,4.490661621E-3,9.850565643E0
2.982072250E0,-6.676116943E-2,-4.490661621E-4,9.854457550E0
2.991807250E0,-4.056564331E-2,4.041595459E-2,9.856104126E0
3.001542250E0,-1.646575928E-2,3.053649902E-2,9.842332764E0
3.011277250E0,-1.930984497E-2,2.619552612E-2,9.845775604E0
3.020982250E0,-1.496887207E-3,2.784210205E-2,9.829459534E0
3.030717250E0,-2.095642090E-2,4.355941772E-2,9.844727783E0
3.040452250E0,-8.681945801E-3,4.655319214E-2,9.835297394E0
3.050187250E0,-4.311035156E-2,4.176315308E-2,9.848320312E0
3.059922250E0,-2.829116821E-2,1.571731567E-2,9.844578094E0
3.069657250E0,-5.882766724E-2,2.110610962E-2,9.853709106E0
3.079392250E0,-7.499404907E-2,2.829116821E-2,9.861642609E0
3.089128250E0,-5.957611084E-2,2.754272461E-2,9.845476227E0
3.098863250E0,-9.355545044E-2,3.502716064E-2,9.854158173E0
3.108598250E0,-7.095245361E-2,5.104385376E-2,9.852810974E0
3.118333250E0,-6.451583862E-2,6.137237549E-2,9.837093658E0
3.128068250E0,-3.966751099E-2,2.679428101E-2,9.845775604E0
