"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.775844111E2,1.807329559E1,1.873225021E1,-4.578021240E1
1.775943901E2,1.786034393E1,1.882265854E1,-4.578375244E1
1.776044001E2,1.786034393E1,1.882265854E1,-4.578375244E1
1.776144101E2,1.812004852E1,1.885039902E1,-4.573596191E1
1.776243891E2,1.812004852E1,1.885039902E1,-4.573596191E1
1.776343991E2,1.828679657E1,1.882612991E1,-4.576831055E1
1.776443781E2,1.828679657E1,1.882612991E1,-4.576831055E1
1.776543881E2,1.797844696E1,1.881070328E1,-4.593664551E1
1.776643981E2,1.797844696E1,1.881070328E1,-4.593664551E1
1.776743771E2,1.812880707E1,1.872914505E1,-4.578253174E1
1.776843871E2,1.812880707E1,1.872914505E1,-4.578253174E1
1.776943961E2,1.765004730E1,1.879838181E1,-4.594830322E1
1.777043761E2,1.765004730E1,1.879838181E1,-4.594830322E1
1.777143851E2,1.806154633E1,1.881923294E1,-4.590124512E1
1.777243951E2,1.806154633E1,1.881923294E1,-4.590124512E1
1.777343751E2,1.785295868E1,1.881203842E1,-4.589654541E1
1.777443841E2,1.785295868E1,1.881203842E1,-4.589654541E1
1.777543641E2,1.782878876E1,1.880980301E1,-4.602966309E1
1.777643731E2,1.782878876E1,1.880980301E1,-4.602966309E1
1.777743831E2,1.794005585E1,1.892478561E1,-4.608892822E1
1.777843621E2,1.794005585E1,1.892478561E1,-4.608892822E1
1.777943721E2,1.771656036E1,1.892510605E1,-4.594519043E1
1.778043821E2,1.771656036E1,1.892510605E1,-4.594519043E1
1.778143611E2,1.793425751E1,1.879226303E1,-4.602966309E1
1.778243711E2,1.793425751E1,1.879226303E1,-4.602966309E1
1.778343811E2,1.796385956E1,1.888293076E1,-4.581787109E1
1.778443601E2,1.796385956E1,1.888293076E1,-4.581787109E1
1.778543701E2,1.780298615E1,1.894393539E1,-4.589099121E1
1.778643491E2,1.780298615E1,1.894393539E1,-4.589099121E1
1.778743591E2,1.795812225E1,1.884657669E1,-4.586224365E1
1.778843681E2,1.795812225E1,1.884657669E1,-4.586224365E1
1.778943481E2,1.777161407E1,1.888937759E1,-4.593774414E1
1.779043571E2,1.777161407E1,1.888937759E1,-4.593774414E1
1.779143671E2,1.781864166E1,1.889669418E1,-4.582385254E1
1.779243461E2,1.781864166E1,1.889669418E1,-4.582385254E1
1.779343561E2,1.787921906E1,1.884855270E1,-4.599493408E1
