"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.788771260E1,5.233432554E1,4.866738506E0,4.759178162E-1,2.700000107E-1,1.968750000E1,6.487098605E1,6.487098605E1
7.888767385E1,5.233431791E1,4.866735237E0,4.681053162E-1,8.100000024E-1,1.947656250E2,6.416053122E1,6.416053122E1
7.988763452E1,5.233430391E1,4.866730878E0,4.544334412E-1,8.100000024E-1,1.908984375E2,6.300313020E1,6.300313020E1
8.088759673E1,5.233429184E1,4.866727190E0,4.485740662E-1,8.299999833E-1,1.940625000E2,6.208762864E1,6.208762864E1
8.188755774E1,5.233428065E1,4.866724089E0,4.460716248E-1,8.299999833E-1,1.968750000E2,6.134013304E1,6.134013304E1
8.288751864E1,5.233426909E1,4.866720149E0,4.335594177E-1,9.300000072E-1,2.032031250E2,6.062254941E1,6.062254941E1
8.388747954E1,5.233425949E1,4.866725430E0,4.312400818E-1,9.300000072E-1,1.993359375E2,6.274926317E1,6.274926317E1
8.488744175E1,5.233425224E1,4.866722832E0,4.197654724E-1,3.799999952E-1,1.979296875E2,1.121561739E2,1.121561739E2
8.588740158E1,5.233424968E1,4.866758622E0,4.390525818E-1,3.799999952E-1,1.599609375E2,6.415380422E1,6.415380422E1
8.688736463E1,5.233425303E1,4.866819978E0,4.616966248E-1,6.999999881E-1,1.434375000E2,7.230224804E1,7.230224804E1
8.788732529E1,5.233426100E1,4.866855266E0,4.687156677E-1,6.200000048E-1,1.469531250E2,6.996569193E1,6.996569193E1
8.888728511E1,5.233421112E1,4.867312247E0,4.445457458E-1,1.450000048E0,1.012500000E2,6.337227293E1,6.337227293E1
8.988724709E1,5.233420945E1,4.867341416E0,4.378318787E-1,1.450000048E0,1.065234375E2,1.153685279E2,1.153685279E2
9.088720834E1,5.233421125E1,4.867369328E0,4.294700623E-1,1.480000019E0,9.246093750E1,1.087040286E2,1.087040286E2
9.188716972E1,5.233421557E1,4.867382571E0,4.309349060E-1,1.659999967E0,9.843750000E1,1.096129874E2,1.096129874E2
9.288713038E1,5.233422403E1,4.867388690E0,4.323387146E-1,1.850000024E0,9.281250000E1,1.106219412E2,1.106219412E2
9.388709128E1,5.233423057E1,4.867387516E0,4.317283630E-1,1.850000024E0,9.246093750E1,1.185230193E2,1.185230193E2
9.488705242E1,5.233423279E1,4.867367735E0,4.263572693E-1,1.190000057E0,8.859375000E1,1.171990096E2,1.171990096E2
9.588701427E1,5.233423707E1,4.867342003E0,4.282493591E-1,4.499999881E-1,8.542968750E1,1.155083965E2,1.155083965E2
9.688697636E1,5.233424096E1,4.867321216E0,4.281883240E-1,2.899999917E-1,7.382812500E1,1.106925024E2,1.106925024E2
9.788693619E1,5.233424453E1,4.867305206E0,4.281883240E-1,2.899999917E-1,6.750000000E1,1.109919902E2,1.109919902E2
9.888689721E1,5.233424619E1,4.867304228E0,4.281883240E-1,2.867268746E-1,-1.000000000E0,2.111753602E2,2.111753602E2
9.988685882E1,5.233424818E1,4.867300784E0,4.281883240E-1,2.839339802E-1,-1.000000000E0,2.113920894E2,2.113920894E2
1.008868203E2,5.233425029E1,4.867296462E0,4.281883240E-1,2.814797219E-1,-1.000000000E0,2.116278359E2,2.116278359E2
1.018867807E2,5.233425239E1,4.867292128E0,4.281883240E-1,2.792660043E-1,-1.000000000E0,2.118700410E2,2.118700410E2
1.028867431E2,5.233425441E1,4.867288306E0,4.281883240E-1,2.773072329E-1,-1.000000000E0,2.121077511E2,2.121077511E2
1.038867035E2,5.233425386E1,4.867288964E0,4.280434549E-1,3.156081843E-1,-1.000000000E0,2.120442294E2,2.120442294E2
1.048866647E2,5.233425107E1,4.867290495E0,4.279423952E-1,3.311307081E-1,-1.000000000E0,2.117288160E2,2.117288160E2
1.058866251E2,5.233424642E1,4.867292179E0,4.278678596E-1,3.455024775E-1,-1.000000000E0,2.112067402E2,2.112067402E2
1.068865867E2,5.233424051E1,4.867293932E0,4.278109074E-1,3.686087085E-1,-1.000000000E0,2.105446144E2,2.105446144E2
1.078865469E2,5.233423340E1,4.867294667E0,4.277897179E-1,3.941566970E-1,-1.000000000E0,2.097518022E2,2.097518022E2
1.088865080E2,5.233422550E1,4.867294613E0,4.277728796E-1,4.159790532E-1,-1.000000000E0,2.088732443E2,2.088732443E2
1.098864697E2,5.233422197E1,4.867296605E0,4.277593791E-1,3.795205479E-1,-1.000000000E0,2.084765215E2,2.084765215E2
1.108864318E2,5.233421892E1,4.867297365E0,4.277484715E-1,3.459489165E-1,-1.000000000E0,2.081368003E2,2.081368003E2
1.118863931E2,5.233421689E1,4.867296958E0,4.277396202E-1,2.622826511E-1,-1.000000000E0,2.079118175E2,2.079118175E2
1.128863530E2,5.233421585E1,4.867295597E0,4.277324080E-1,1.939300804E-1,-1.000000000E0,2.077977164E2,2.077977164E2
1.138863147E2,5.233419840E1,4.867298428E0,4.328998625E-1,2.502156415E-1,-1.000000000E0,2.058530659E2,2.058530659E2
