Time (s),X (µT),Y (µT),Z (µT)
1654685204318673152,-10.80825806,-26.02358437,-55.47906494
1654685207739130624,-10.80825806,-26.02358437,-55.47906494
1654685211169547520,-11.19069672,-26.26791573,-55.54125977
1654685214609973760,-11.19069672,-26.26791573,-55.54125977
1654685218060379648,-11.01430511,-26.06906319,-55.56469727
1654685221520794880,-11.01430511,-26.06906319,-55.56469727
1654685224991190016,-11.00360107,-26.01250648,-55.54064941
1654685228471593984,-11.00360107,-26.01250648,-55.54064941
1654685231962008320,-11.21475983,-25.96994781,-55.43499756
1654685235462401280,-11.21475983,-25.96994781,-55.43499756
1654685238972804608,-11.17951965,-25.74967957,-55.4175415
1654685242493186560,-11.17951965,-25.74967957,-55.4175415
1654685246023578368,-11.38085938,-25.92173767,-55.3807373
1654685249563980288,-11.38085938,-25.92173767,-55.3807373
1654685253114361344,-11.35706329,-25.93222809,-55.60784912
1654685256674752256,-11.35706329,-25.93222809,-55.60784912
1654685260245122304,-11.32118988,-25.85993195,-55.58099365
1654685263825502208,-11.32118988,-25.85993195,-55.58099365
1654685267415892224,-10.97421265,-25.96289825,-55.38616943
1654685271016261120,-10.97421265,-25.96289825,-55.38616943
1654685274626639872,-11.42750549,-26.11547279,-55.65423584
1654685278246998016,-11.42750549,-26.11547279,-55.65423584
1654685281877366016,-11.38955688,-26.03937531,-55.39593506
1654685285517744128,-11.38955688,-26.03937531,-55.39593506
1654685289168101120,-11.33568573,-26.16021538,-55.57995605
1654685292828467968,-11.33568573,-26.16021538,-55.57995605
1654685296498813952,-10.79708099,-26.19161606,-55.43444824
1654685300179170048,-10.79708099,-26.19161606,-55.43444824
1654685303869535232,-11.12962341,-25.78998375,-55.57342529
1654685307569880320,-11.12962341,-25.78998375,-55.57342529
1654685311280234240,-11.22238159,-25.90934753,-55.50701904
1654685315000568320,-11.22238159,-25.90934753,-55.50701904
1654685318730911488,-11.35066223,-25.94599915,-55.4118042
1654685322471264512,-11.35066223,-25.94599915,-55.4118042
1654685326221596672,-11.45578766,-26.0548687,-55.44445801
1654685329981938688,-11.45578766,-26.0548687,-55.44445801
1654685333752260096,-11.34143066,-25.93913841,-55.56347656
1654685337532591104,-11.34143066,-25.93913841,-55.56347656
1654685341322932224,-11.24385071,-25.95329857,-55.22595215
1654685345123252480,-11.24385071,-25.95329857,-55.22595215
1654685348933582592,-11.34761047,-26.10300064,-55.32647705
1654685352753891584,-11.34761047,-26.10300064,-55.32647705
1654685356584210432,-11.33509064,-26.04691505,-55.43115234
1654685360424539392,-11.33509064,-26.04691505,-55.43115234
1654685364274847232,-11.45687103,-26.09681702,-55.44610596
1654685368135165184,-11.45687103,-26.09681702,-55.44610596
1654685372005462272,-11.12770844,-25.97717094,-55.63659668
1654685375885769216,-11.12770844,-25.97717094,-55.63659668
1654685379776086016,-11.27424622,-26.03252029,-55.5579834
1654685383676381952,-11.27424622,-26.03252029,-55.5579834
1654685387586688000,-11.23504639,-26.0632782,-55.59545898
1654685391506972928,-11.23504639,-26.0632782,-55.59545898
1654685395437267968,-11.45892334,-25.86250305,-55.37121582
1654685399377572096,-11.45892334,-25.86250305,-55.37121582
1654685403327856128,-11.51386261,-25.9118557,-55.31384277
1654685407288148992,-11.51386261,-25.9118557,-55.31384277
1654685411258422016,-10.99906921,-26.12652206,-55.50415039
1654685415238704128,-10.99906921,-26.12652206,-55.50415039
1654685419228996352,-11.29581451,-25.97550774,-55.40509033
1654685423229267456,-11.29581451,-25.97550774,-55.40509033
1654685427239548416,-11.26446533,-26.06391907,-55.51898193
1654685431259808512,-11.26446533,-26.06391907,-55.51898193
1654685435290078720,-10.97029114,-25.88990021,-55.38946533
1654685439330358784,-10.97029114,-25.88990021,-55.38946533
1654685443380617984,-11.37057495,-26.01819801,-55.68603516
1654685447440887040,-11.37057495,-26.01819801,-55.68603516
1654685451511134976,-11.16293335,-25.86296082,-55.3192749
1654685455591393280,-11.16293335,-25.86296082,-55.3192749
1654685459681661440,-11.20324707,-26.05840492,-55.56408691
1654685463781908480,-11.20324707,-26.05840492,-55.56408691
1654685467892165632,-11.47631836,-25.98014069,-55.60089111
1654685472012401920,-11.47631836,-25.98014069,-55.60089111
1654685476142647808,-11.41845703,-25.79953575,-55.63446045
1654685480282903808,-11.41845703,-25.79953575,-55.63446045
1654685484433138688,-11.54278564,-26.10783958,-55.56292725
1654685488593383680,-11.54278564,-26.10783958,-55.56292725
1654685492763607552,-11.4479599,-25.91785622,-55.56213379
1654685496943841536,-11.4479599,-25.91785622,-55.56213379
1654685501134084608,-10.99626923,-26.11821938,-55.51586914
1654685505334307328,-10.99626923,-26.11821938,-55.51586914
1654685509544539392,-11.26152039,-25.9002018,-55.43652344
1654685513764751360,-11.26152039,-25.9002018,-55.43652344
1654685517994972416,-10.90356445,-25.89233017,-55.46429443
1654685522235203584,-10.90356445,-25.89233017,-55.46429443
1654685526485413632,-11.39395905,-25.92354584,-55.51599121
1654685530745633536,-11.39395905,-25.92354584,-55.51599121
1654685535015832576,-11.38439941,-25.7500267,-55.41369629
1654685539296041728,-11.38439941,-25.7500267,-55.41369629
1654685543586260736,-11.12366486,-26.01094437,-55.67126465
1654685547886458880,-11.12366486,-26.01094437,-55.67126465
1654685552196666880,-11.22432709,-26.04046822,-55.4395752
1654685556516884992,-11.22432709,-26.04046822,-55.4395752
1654685560847081984,-11.31980896,-25.99988365,-55.4598999
1654685565187289088,-11.31980896,-25.99988365,-55.4598999
1654685569537475328,-11.50656128,-25.89543915,-55.53796387
1654685573897671424,-11.50656128,-25.89543915,-55.53796387
1654685578267876352,-11.20126343,-25.87848663,-55.44909668
1654685582648061440,-11.20126343,-25.87848663,-55.44909668
1654685587038255616,-11.19734192,-25.87154007,-55.62316895
1654685591438429696,-11.19734192,-25.87154007,-55.62316895
1654685595848612608,-11.58206177,-25.90660477,-55.66461182
1654685600268805376,-11.58206177,-25.90660477,-55.66461182
1654685604698930176,-10.90617371,-25.92812729,-55.60144043
1654685609139064064,-10.90617371,-25.92812729,-55.60144043
1654685613589177856,-11.57750702,-25.85289192,-55.70172119
1654685618049300736,-11.57750702,-25.85289192,-55.70172119
1654685622519433472,-11.77284241,-25.84014893,-55.49493408
1654685626999545344,-11.77284241,-25.84014893,-55.49493408
1654685631489667072,-10.98710632,-25.86720085,-55.55450439
1654685635989767936,-10.98710632,-25.86720085,-55.55450439
1654685640499878912,-11.5668869,-25.75910187,-55.6362915
1654685645019999744,-11.38772583,-25.97281265,-55.5546875
1654685649550099712,-11.38772583,-25.97281265,-55.5546875
1654685654090209536,-11.60520172,-25.99430847,-55.58526611
1654685658640298496,-11.60520172,-25.99430847,-55.58526611
1654685663200397312,-11.59323883,-25.89936829,-55.43841553
1654685667770505984,-11.59323883,-25.89936829,-55.43841553
1654685672350594048,-11.33493805,-26.12701416,-55.55126953
1654685676940691968,-11.33493805,-26.12701416,-55.55126953
1654685681540769024,-11.41705322,-25.87196159,-55.65789795
1654685686150855680,-11.41705322,-25.87196159,-55.65789795
1654685690770951680,-11.49938202,-26.07543373,-55.71948242
1654685695401027584,-11.49938202,-26.07543373,-55.71948242
1654685700041112576,-11.32216644,-26.10123825,-55.79425049
1654685704691177472,-11.32216644,-26.10123825,-55.79425049
1654685709351251456,-11.28990173,-26.15258598,-55.72503662
1654685714021335040,-11.28990173,-26.15258598,-55.72503662
1654685718701398016,-11.27272797,-26.06625175,-55.63085938
1654685723391470592,-11.27272797,-26.06625175,-55.63085938
1654685728091522560,-11.33735657,-25.92221642,-55.60186768
1654685732801584128,-11.33735657,-25.92221642,-55.60186768
1654685737521656064,-11.06774139,-26.08270836,-55.58990479
1654685742251706880,-11.06774139,-26.08270836,-55.58990479
1654685746991767552,-11.15355682,-26.14457321,-55.52984619
1654685751741807616,-11.15355682,-26.14457321,-55.52984619
1654685756501857280,-11.15665436,-26.09930611,-55.39013672
1654685761271917056,-11.15665436,-26.09930611,-55.39013672
1654685766051955968,-11.27891541,-26.18572044,-55.44219971
1654685770842004736,-11.27891541,-26.18572044,-55.44219971
1654685775642032640,-11.43562317,-25.95304871,-55.42498779
1654685780452070400,-11.43562317,-25.95304871,-55.42498779
1654685785272118272,-11.40605927,-26.10455704,-55.59863281
1654685790102145280,-11.40605927,-26.10455704,-55.59863281
1654685794942181888,-11.04616547,-26.03594589,-55.57885742
1654685799792197888,-11.04616547,-26.03594589,-55.57885742
1654685804652223744,-11.33209229,-26.21385384,-55.42956543
1654685809522258688,-11.33209229,-26.21385384,-55.42956543
1654685814402273792,-11.04200745,-25.96054268,-55.42889404
1654685819292297728,-11.04200745,-25.96054268,-55.42889404
1654685824192301568,-11.34437561,-26.02629852,-55.38128662
1654685829102314496,-11.34437561,-26.02629852,-55.38128662
1654685834022337280,-11.33805084,-26.01198769,-55.51324463
1654685838952339456,-11.33805084,-26.01198769,-55.51324463
1654685843892351488,-11.36240387,-26.01576614,-55.46118164
1654685848842342400,-11.36240387,-26.01576614,-55.46118164
