Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
1654802478220749824,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,14.31414428,14.31414428
1654802479220697856,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,14.51793722,14.51793722
1654802480219516416,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,14.59195931,14.59195931
1654802481218822400,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,14.65142294,14.65142294
1654802482221611776,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,14.69573557,14.69573557
1654802483221773056,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,14.73487138,14.73487138
1654802484220641536,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,14.79791579,14.79791579
1654802485219942656,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,14.81857576,14.81857576
1654802486220642304,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,14.86649423,14.86649423
1654802487220761600,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,14.91305656,14.91305656
1654802488221521920,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,14.93004195,14.93004195
1654802489220591872,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,14.59607385,14.59607385
1654802490221084672,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.1651567,13.1651567
1654802491220554496,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.27826498,13.27826498
1654802492220577792,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,12.25464202,12.25464202
1654802493223609344,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,12.31375687,12.31375687
1654802494219418880,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,12.42889879,12.42889879
1654802495219543296,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,12.40515531,12.40515531
1654802496220570880,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,12.48049919,12.48049919
1654802497220585472,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,12.52876813,12.52876813
1654802498219796736,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,12.63440608,12.63440608
1654802499215927040,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,12.71920175,12.71920175
1654802500221568768,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,12.76874524,12.76874524
1654802501221684736,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,12.87983415,12.87983415
1654802502221188864,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,12.96322482,12.96322482
1654802503220156672,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.17310252,13.17310252
1654802504219815424,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.15660117,13.15660117
1654802505219804416,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.19278025,13.19278025
1654802506221141760,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.19602356,13.19602356
1654802507220587264,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.24311669,13.24311669
1654802508219727616,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.25620731,13.25620731
1654802509220954112,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.28896655,13.28896655
1654802510220273408,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.3276079,13.3276079
1654802511220897280,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.35806956,13.35806956
1654802512220722432,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.38606235,13.38606235
1654802513220841472,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.41327127,13.41327127
1654802514221411072,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.46078057,13.46078057
1654802515220050688,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.52905815,13.52905815
1654802516221346048,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.58977443,13.58977443
1654802517219416064,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.68449171,13.68449171
1654802518220047616,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.71036369,13.71036369
1654802519216378880,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.78642693,13.78642693
1654802520218942720,50.08357641,14.46597739,250.65948089999998,0.0,44.30553919,13.89030268,13.89030268
1654802521221049344,50.08358499,14.46599416,250.74401469999998,0.0,44.30555194,13.98115189,13.98115189
1654802522220950784,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,14.08961325,14.08961325
1654802523223035904,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,12.17117375,12.17117375
1654802524219601152,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,12.245588,12.245588
1654802525220397312,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,12.31847051,12.31847051
1654802526220438016,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,12.45660723,12.45660723
1654802527220935936,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,12.55528125,12.55528125
1654802528220665088,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,12.60812863,12.60812863
1654802529221562368,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,12.72741564,12.72741564
1654802530220267520,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,12.81642273,12.81642273
1654802531220373504,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,12.8981156,12.8981156
1654802532220755712,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,13.01349091,13.01349091
1654802533214625280,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,13.31595154,13.31595154
1654802534219153408,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,13.26016095,13.26016095
1654802535220410368,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,13.33983771,13.33983771
1654802536219164672,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,13.55340462,13.55340462
1654802537221165056,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,13.65795927,13.65795927
1654802538215199232,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,13.74478616,13.74478616
1654802539220706816,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,13.82802932,13.82802932
1654802540219981312,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,13.87902991,13.87902991
1654802541219986688,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,13.991887,13.991887
1654802542221009408,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,14.07013573,14.07013573
1654802543221045760,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,14.12461666,14.12461666
1654802544220846336,50.08358358,14.46599992,250.78228880000003,0.0,44.30555612,14.20707599,14.20707599
