Time (s),X (hPa)
1654802663906706688,984.9703217
1654802664972962816,984.9736023
1654802666039215872,984.9736023
1654802667105565696,984.9736023
1654802668171851776,984.9742126
1654802669238052864,984.9742889
1654802670304268032,984.9748992999998
1654802671370533632,984.9777222000001
1654802672436813824,984.9792480000001
1654802673503083776,984.9803162000001
1654802674569373696,984.9792480000001
1654802675635645952,984.9791718
1654802676701990912,984.9784851
1654802677768357888,984.9746704
1654802678834720768,984.9726867999999
1654802679901022720,984.9720001000001
1654802680967280896,984.9710082999999
1654802682033565696,984.9700164999999
1654802683099905792,984.9700164999999
1654802684166240768,984.9713898
1654802685232445696,984.9719238
1654802686298656768,984.9752045
1654802687364914944,984.9760437000001
1654802688431180800,984.9765015
1654802689497490944,984.9765015
1654802690563789056,984.9739074999999
1654802691630092800,984.9697113
1654802692696390912,984.9671936000001
1654802693762660608,984.966507
1654802694828961024,984.966507
1654802695895245824,984.9677277000001
1654802696961518848,984.9715424000001
1654802698027809024,984.9759674000001
1654802699094022912,984.9794768999999
1654802700160185856,984.9824524
1654802701226402816,984.9858856000001
1654802702292594688,984.989624
1654802703358803712,984.9915314
1654802704425051648,984.9917603
1654802705491237888,984.9938965
1654802706557462784,984.9938965
1654802707623671808,984.9935912999999
1654802708689874944,984.9935912999999
1654802709756094720,984.9949646
1654802710822310656,984.995575
1654802711888543744,984.9965668
1654802712954774016,985.0013733
1654802714021070592,985.0013733
1654802715087313920,985.0001526000001
1654802716153571840,984.9983215
1654802717219779584,984.9983215
1654802718286037760,984.9969482000001
1654802719352299776,984.9969482000001
1654802720418529792,984.9994659
1654802721484719872,985.0
1654802722550979072,985.0010681
1654802723617250816,985.0024413999998
1654802724683465728,985.0025939999999
1654802725749648896,985.0033569
1654802726815859712,985.0041198999999
1654802727882115072,985.0048065
1654802728948375808,985.0053406
1654802730014620672,985.0063323999999
1654802731080915712,985.0066376
1654802732147209984,985.0082397
1654802733213457920,985.0090789999999
1654802734279651840,985.0091553
1654802735345816832,985.0091553
1654802736412063744,985.0106812000001
1654802737478295808,985.0125122000002
1654802738544552704,985.0134277000001
1654802739610808064,985.0162506000001
1654802740677015808,985.0178527999999
1654802741743281920,985.0202942
1654802742809579776,985.0212859999999
1654802743875849728,985.0218200999999
1654802744942121728,985.0218200999999
1654802746008406784,985.0218200999999
1654802747074641664,985.0210571
1654802748140875776,985.0215912000001
1654802749207106816,985.0215912000001
1654802750273344768,985.0240325999999
1654802753139493120,985.0588226
1654802754172378880,985.0572968
1654802755205231104,985.0557708999999
1654802756238131968,985.0512695
1654802757270974976,985.0512695
1654802757463075072,985.0523376
1654802758529225728,985.0540161
1654802759595398912,985.0543213
1654802760661560832,985.0573730000001
1654802761727675904,985.0573730000001
1654802762793812992,985.0573730000001
1654802763859979776,985.0564575
1654802764926169856,985.052948
1654802765992378112,985.0524139
1654802767058566912,985.0520324999999
1654802768124715776,985.051651
1654802769190885888,985.051651
1654802770257039872,985.0571441999999
1654802771323172864,985.0575256000001
1654802772389313024,985.0576018999999
1654802773455427072,985.0580597000001
1654802774521539072,985.0580597000001
1654802775587649792,985.0546265
1654802776653703936,985.0523376
1654802777719762688,985.0520324999999
1654802778785852928,985.0515747000002
1654802779851965952,985.0512695
1654802780918101760,985.0497437000001
1654802781984276736,985.0497437000001
1654802783050430720,985.0505066
1654802784116616960,985.0505066
1654802785182768896,985.0507355000001
1654802786248925952,985.0547791000001
1654802787315063040,985.0562286
1654802788381198080,985.0564575
1654802789447378944,985.0568390000001
1654802790513516032,985.059433
1654802791579655936,985.0618743999999
1654802792645811712,985.0634002999999
1654802793711983104,985.0655365
1654802794778113024,985.0686645999999
1654802795844236800,985.0712585000001
1654802796910364928,985.0733947999998
1654802797976527872,985.0762177000001
1654802799042629120,985.0787354
1654802800108701952,985.0800322999999
1654802801174784000,985.0839996
1654802802240860928,985.0841522
1654802803306888704,985.0854492000001
1654802804372918016,985.0867462000001
1654802805439027712,985.0863647
1654802806505116928,985.0863647
1654802807571183104,985.0858307
1654802808637263872,985.0849914999999
1654802809703337984,985.0837707999999
1654802810769445888,985.0820160000001
1654802811835568896,985.0795745999999
1654802812901713920,985.0769806
1654802813967852800,985.0757599
1654802815033929728,985.0757599
1654802816100029952,985.0767517
1654802817166106112,985.0778197999999
1654802818232190720,985.0782013
1654802819298302976,985.0782013
1654802820364367104,985.0759125
1654802821430415872,985.0733185
1654802822496496896,985.0707244999999
1654802823562559744,985.0669861
1654802824628635904,985.0621033
1654802825694706944,985.0578308
1654802826760783872,985.0535582999998
1654802827826850048,985.0527954
1654802828892883712,985.0527954
